t,complexity
490.5,444.85534672045725
491.0,444.89827782027214
491.5,444.84534561585883
492.0,444.7565035425848
492.5,444.6973964587969
493.0,444.6319993305191
493.5,444.60208458685867
494.0,444.6154991192812
494.5,444.5937847540475
495.0,444.52135665474793
495.5,444.4392950295203
496.0,444.36264691357593
496.5,444.27539822851577
497.0,444.1046784079288
497.5,443.8601004962691
498.0,443.57951364221077
498.5,443.25218708756734
499.0,442.8172924776179
499.5,442.3370275610831
500.0,441.90918777652894
500.5,441.57382289566243
501.0,441.34407151857596
501.5,441.2329412794736
502.0,441.16883630468067
502.5,441.14796066655464
503.0,441.1698955632553
503.5,441.22089954909563
504.0,441.251549683063
504.5,441.2191383109023
505.0,441.1417356648966
505.5,440.9932035014417
506.0,440.75769112905715
506.5,440.4994779113778
507.0,440.17066725978947
507.5,439.7590473076372
508.0,439.35923347477944
508.5,439.0053513486225
509.0,438.73765480660137
509.5,438.53682212865465
510.0,438.41156154301234
510.5,438.4123061802529
511.0,438.487553321341
511.5,438.59458547205463
512.0,438.7411708972778
512.5,438.97904534087496
513.0,439.2835564690918
513.5,439.6671761744635
514.0,440.1090289489543
514.5,440.5003169152685
515.0,440.8564495602708
515.5,441.18153676393797
516.0,441.5035012701105
516.5,441.78340419638425
517.0,441.9996331317162
517.5,442.19314707854966
518.0,442.33019877615646
518.5,442.46461414861477
519.0,442.66238636584325
519.5,442.91267174987206
520.0,443.2115962122474
520.5,443.5702124604755
521.0,444.02505987849736
521.5,444.473395453862
522.0,444.8560705051577
522.5,445.2134702840513
523.0,445.58641977397855
523.5,445.9318670686643
524.0,446.26107469801605
524.5,446.5244470278152
525.0,446.72980294412815
525.5,446.9287315783095
526.0,447.098814013033
526.5,447.21123098943826
527.0,447.31627216738275
527.5,447.39110889837025
528.0,447.4593200443482
528.5,447.58890166070495
529.0,447.77226544910354
529.5,447.97528566147344
530.0,448.2148564673376
530.5,448.5575951854254
531.0,448.94660815230867
531.5,449.3606729207763
532.0,449.79827952754187
532.5,450.2715409020267
533.0,450.7335823381392
533.5,451.1634379074031
534.0,451.537901143354
534.5,451.8190932034921
535.0,452.02007571729945
535.5,452.14398676939436
536.0,452.2634341218116
536.5,452.42151540299494
537.0,452.5980642313587
537.5,452.8149302346118
538.0,453.0883078222949
538.5,453.3746916842094
539.0,453.64203113976254
539.5,453.97887431242606
540.0,454.3726141580834
540.5,454.76250265197785
541.0,455.10765735525814
541.5,455.38518249340007
542.0,455.5294194900325
542.5,455.60593116880136
543.0,455.6662405808778
543.5,455.6517121754985
544.0,455.5863891812101
544.5,455.5367337602811
545.0,455.5686075698555
545.5,455.62128304572826
546.0,455.66237675066867
546.5,455.6994699269125
547.0,455.7103748818872
547.5,455.7181392341478
548.0,455.7564609760786
548.5,455.9100770140099
549.0,456.2097586216703
549.5,456.5861752775071
550.0,457.0341581443215
550.5,457.55614560911744
551.0,458.1208754104418
551.5,458.68666836150663
